,feature,informations
45,FLAG_DOCUMENT_11,Did client provide document 11
46,FLAG_DOCUMENT_12,Did client provide document 12
47,FLAG_DOCUMENT_13,Did client provide document 13
48,FLAG_DOCUMENT_14,Did client provide document 14
49,FLAG_DOCUMENT_15,Did client provide document 15
50,FLAG_DOCUMENT_16,Did client provide document 16
51,FLAG_DOCUMENT_17,Did client provide document 17
52,FLAG_DOCUMENT_18,Did client provide document 18
53,FLAG_DOCUMENT_19,Did client provide document 19
54,FLAG_DOCUMENT_20,Did client provide document 20
55,FLAG_DOCUMENT_21,Did client provide document 21
56,NAME_CONTRACT_TYPE_Cash_loans,Identification if loan is cash or revolving
57,NAME_CONTRACT_TYPE_Revolving_loans,Identification if loan is cash or revolving
58,NAME_TYPE_SUITE_Children,Who was accompanying client when he was applying for the loan
59,NAME_TYPE_SUITE_Family,Who was accompanying client when he was applying for the loan
60,NAME_TYPE_SUITE_Group_of_people,Who was accompanying client when he was applying for the loan
61,NAME_TYPE_SUITE_Other_A,Who was accompanying client when he was applying for the loan
62,NAME_TYPE_SUITE_Other_B,Who was accompanying client when he was applying for the loan
63,NAME_TYPE_SUITE_Spouse_partner,Who was accompanying client when he was applying for the loan
64,NAME_TYPE_SUITE_Unaccompanied,Who was accompanying client when he was applying for the loan
65,NAME_INCOME_TYPE_Businessman,"Clients income type (businessman, working, maternity leave,)"
66,NAME_INCOME_TYPE_Commercial_associate,"Clients income type (businessman, working, maternity leave,)"
67,NAME_INCOME_TYPE_Maternity_leave,"Clients income type (businessman, working, maternity leave,)"
68,NAME_INCOME_TYPE_Pensioner,"Clients income type (businessman, working, maternity leave,)"
69,NAME_INCOME_TYPE_State_servant,"Clients income type (businessman, working, maternity leave,)"
70,NAME_INCOME_TYPE_Student,"Clients income type (businessman, working, maternity leave,)"
71,NAME_INCOME_TYPE_Unemployed,"Clients income type (businessman, working, maternity leave,)"
72,NAME_INCOME_TYPE_Working,"Clients income type (businessman, working, maternity leave,)"
73,NAME_EDUCATION_TYPE_Academic_degree,Level of highest education the client achieved
74,NAME_EDUCATION_TYPE_Higher_education,Level of highest education the client achieved
75,NAME_EDUCATION_TYPE_Incomplete_higher,Level of highest education the client achieved
76,NAME_EDUCATION_TYPE_Lower_secondary,Level of highest education the client achieved
77,NAME_EDUCATION_TYPE_Secondary___secondary_special,Level of highest education the client achieved
78,NAME_FAMILY_STATUS_Civil_marriage,Family status of the client
79,NAME_FAMILY_STATUS_Married,Family status of the client
80,NAME_FAMILY_STATUS_Separated,Family status of the client
81,NAME_FAMILY_STATUS_Single___not_married,Family status of the client
82,NAME_FAMILY_STATUS_Unknown,Family status of the client
83,NAME_FAMILY_STATUS_Widow,Family status of the client
84,NAME_HOUSING_TYPE_Co_op_apartment,"What is the housing situation of the client (renting, living with parents, ...)"
85,NAME_HOUSING_TYPE_House___apartment,"What is the housing situation of the client (renting, living with parents, ...)"
86,NAME_HOUSING_TYPE_Municipal_apartment,"What is the housing situation of the client (renting, living with parents, ...)"
87,NAME_HOUSING_TYPE_Office_apartment,"What is the housing situation of the client (renting, living with parents, ...)"
88,NAME_HOUSING_TYPE_Rented_apartment,"What is the housing situation of the client (renting, living with parents, ...)"
89,NAME_HOUSING_TYPE_With_parents,"What is the housing situation of the client (renting, living with parents, ...)"
90,OCCUPATION_TYPE_Accountants,What kind of occupation does the client have
91,OCCUPATION_TYPE_Cleaning_staff,What kind of occupation does the client have
92,OCCUPATION_TYPE_Cooking_staff,What kind of occupation does the client have
93,OCCUPATION_TYPE_Core_staff,What kind of occupation does the client have
94,OCCUPATION_TYPE_Drivers,What kind of occupation does the client have
95,OCCUPATION_TYPE_HR_staff,What kind of occupation does the client have
96,OCCUPATION_TYPE_High_skill_tech_staff,What kind of occupation does the client have
97,OCCUPATION_TYPE_IT_staff,What kind of occupation does the client have
98,OCCUPATION_TYPE_Laborers,What kind of occupation does the client have
99,OCCUPATION_TYPE_Low_skill_Laborers,What kind of occupation does the client have
100,OCCUPATION_TYPE_Managers,What kind of occupation does the client have
101,OCCUPATION_TYPE_Medicine_staff,What kind of occupation does the client have
102,OCCUPATION_TYPE_Private_service_staff,What kind of occupation does the client have
103,OCCUPATION_TYPE_Realty_agents,What kind of occupation does the client have
104,OCCUPATION_TYPE_Sales_staff,What kind of occupation does the client have
105,OCCUPATION_TYPE_Secretaries,What kind of occupation does the client have
106,OCCUPATION_TYPE_Security_staff,What kind of occupation does the client have
107,OCCUPATION_TYPE_Waiters_barmen_staff,What kind of occupation does the client have
108,WEEKDAY_APPR_PROCESS_START_FRIDAY,On which day of the week did the client apply for the loan
109,WEEKDAY_APPR_PROCESS_START_MONDAY,On which day of the week did the client apply for the loan
110,WEEKDAY_APPR_PROCESS_START_SATURDAY,On which day of the week did the client apply for the loan
111,WEEKDAY_APPR_PROCESS_START_SUNDAY,On which day of the week did the client apply for the loan
112,WEEKDAY_APPR_PROCESS_START_THURSDAY,On which day of the week did the client apply for the loan
113,WEEKDAY_APPR_PROCESS_START_TUESDAY,On which day of the week did the client apply for the loan
114,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,On which day of the week did the client apply for the loan
115,ORGANIZATION_TYPE_Advertising,Type of organization where client works
116,ORGANIZATION_TYPE_Agriculture,Type of organization where client works
117,ORGANIZATION_TYPE_Bank,Type of organization where client works
118,ORGANIZATION_TYPE_Business_Entity_Type_1,Type of organization where client works
119,ORGANIZATION_TYPE_Business_Entity_Type_2,Type of organization where client works
120,ORGANIZATION_TYPE_Business_Entity_Type_3,Type of organization where client works
121,ORGANIZATION_TYPE_Cleaning,Type of organization where client works
122,ORGANIZATION_TYPE_Construction,Type of organization where client works
123,ORGANIZATION_TYPE_Culture,Type of organization where client works
124,ORGANIZATION_TYPE_Electricity,Type of organization where client works
125,ORGANIZATION_TYPE_Emergency,Type of organization where client works
126,ORGANIZATION_TYPE_Government,Type of organization where client works
127,ORGANIZATION_TYPE_Hotel,Type of organization where client works
128,ORGANIZATION_TYPE_Housing,Type of organization where client works
129,ORGANIZATION_TYPE_Industry__type_1,Type of organization where client works
130,ORGANIZATION_TYPE_Industry__type_10,Type of organization where client works
131,ORGANIZATION_TYPE_Industry__type_11,Type of organization where client works
132,ORGANIZATION_TYPE_Industry__type_12,Type of organization where client works
133,ORGANIZATION_TYPE_Industry__type_13,Type of organization where client works
134,ORGANIZATION_TYPE_Industry__type_2,Type of organization where client works
135,ORGANIZATION_TYPE_Industry__type_3,Type of organization where client works
136,ORGANIZATION_TYPE_Industry__type_4,Type of organization where client works
137,ORGANIZATION_TYPE_Industry__type_5,Type of organization where client works
138,ORGANIZATION_TYPE_Industry__type_6,Type of organization where client works
139,ORGANIZATION_TYPE_Industry__type_7,Type of organization where client works
140,ORGANIZATION_TYPE_Industry__type_8,Type of organization where client works
141,ORGANIZATION_TYPE_Industry__type_9,Type of organization where client works
142,ORGANIZATION_TYPE_Insurance,Type of organization where client works
143,ORGANIZATION_TYPE_Kindergarten,Type of organization where client works
144,ORGANIZATION_TYPE_Legal_Services,Type of organization where client works
145,ORGANIZATION_TYPE_Medicine,Type of organization where client works
146,ORGANIZATION_TYPE_Military,Type of organization where client works
147,ORGANIZATION_TYPE_Mobile,Type of organization where client works
148,ORGANIZATION_TYPE_Other,Type of organization where client works
149,ORGANIZATION_TYPE_Police,Type of organization where client works
150,ORGANIZATION_TYPE_Postal,Type of organization where client works
151,ORGANIZATION_TYPE_Realtor,Type of organization where client works
152,ORGANIZATION_TYPE_Religion,Type of organization where client works
153,ORGANIZATION_TYPE_Restaurant,Type of organization where client works
154,ORGANIZATION_TYPE_School,Type of organization where client works
155,ORGANIZATION_TYPE_Security,Type of organization where client works
156,ORGANIZATION_TYPE_Security_Ministries,Type of organization where client works
157,ORGANIZATION_TYPE_Self_employed,Type of organization where client works
158,ORGANIZATION_TYPE_Services,Type of organization where client works
159,ORGANIZATION_TYPE_Telecom,Type of organization where client works
160,ORGANIZATION_TYPE_Trade__type_1,Type of organization where client works
161,ORGANIZATION_TYPE_Trade__type_2,Type of organization where client works
162,ORGANIZATION_TYPE_Trade__type_3,Type of organization where client works
163,ORGANIZATION_TYPE_Trade__type_4,Type of organization where client works
164,ORGANIZATION_TYPE_Trade__type_5,Type of organization where client works
165,ORGANIZATION_TYPE_Trade__type_6,Type of organization where client works
166,ORGANIZATION_TYPE_Trade__type_7,Type of organization where client works
167,ORGANIZATION_TYPE_Transport__type_1,Type of organization where client works
168,ORGANIZATION_TYPE_Transport__type_2,Type of organization where client works
169,ORGANIZATION_TYPE_Transport__type_3,Type of organization where client works
170,ORGANIZATION_TYPE_Transport__type_4,Type of organization where client works
171,ORGANIZATION_TYPE_University,Type of organization where client works
172,ORGANIZATION_TYPE_XNA,Type of organization where client works
173,FONDKAPREMONT_MODE_not_specified,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
174,FONDKAPREMONT_MODE_org_spec_account,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
175,FONDKAPREMONT_MODE_reg_oper_account,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
176,FONDKAPREMONT_MODE_reg_oper_spec_account,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
177,HOUSETYPE_MODE_block_of_flats,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
178,HOUSETYPE_MODE_specific_housing,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
179,HOUSETYPE_MODE_terraced_house,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
180,WALLSMATERIAL_MODE_Block,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
181,WALLSMATERIAL_MODE_Mixed,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
182,WALLSMATERIAL_MODE_Monolithic,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
183,WALLSMATERIAL_MODE_Others,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
184,WALLSMATERIAL_MODE_Panel,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
185,WALLSMATERIAL_MODE_Stone_brick,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
186,WALLSMATERIAL_MODE_Wooden,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
187,EMERGENCYSTATE_MODE_No,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
188,EMERGENCYSTATE_MODE_Yes,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
189,INCOME_CREDIT_PERC,no informations
190,INCOME_PER_PERSON,no informations
191,ANNUITY_INCOME_PERC,no informations
192,PAYMENT_RATE,no informations
193,PREV_AMT_ANNUITY_MIN,Loan annuity
194,PREV_AMT_ANNUITY_MAX,Loan annuity
195,PREV_AMT_ANNUITY_MEAN,Loan annuity
196,PREV_AMT_APPLICATION_MIN,For how much credit did client ask on the previous application
197,PREV_AMT_APPLICATION_MAX,For how much credit did client ask on the previous application
198,PREV_AMT_APPLICATION_MEAN,For how much credit did client ask on the previous application
199,PREV_AMT_CREDIT_MIN,Credit amount of the loan
200,PREV_AMT_CREDIT_MAX,Credit amount of the loan
201,PREV_AMT_CREDIT_MEAN,Credit amount of the loan
202,PREV_APP_CREDIT_PERC_MIN,no informations
203,PREV_APP_CREDIT_PERC_MAX,no informations
204,PREV_APP_CREDIT_PERC_MEAN,no informations
205,PREV_AMT_DOWN_PAYMENT_MIN,Down payment on the previous application
206,PREV_AMT_DOWN_PAYMENT_MAX,Down payment on the previous application
207,PREV_AMT_DOWN_PAYMENT_MEAN,Down payment on the previous application
208,PREV_AMT_GOODS_PRICE_MIN,For consumer loans it is the price of the goods for which the loan is given
209,PREV_AMT_GOODS_PRICE_MAX,For consumer loans it is the price of the goods for which the loan is given
210,PREV_AMT_GOODS_PRICE_MEAN,For consumer loans it is the price of the goods for which the loan is given
211,PREV_HOUR_APPR_PROCESS_START_MIN,Approximately at what hour did the client apply for the loan
212,PREV_HOUR_APPR_PROCESS_START_MAX,Approximately at what hour did the client apply for the loan
213,PREV_HOUR_APPR_PROCESS_START_MEAN,Approximately at what hour did the client apply for the loan
214,PREV_RATE_DOWN_PAYMENT_MIN,Down payment rate normalized on previous credit
215,PREV_RATE_DOWN_PAYMENT_MAX,Down payment rate normalized on previous credit
216,PREV_RATE_DOWN_PAYMENT_MEAN,Down payment rate normalized on previous credit
217,PREV_DAYS_DECISION_MIN,Relative to current application when was the decision about previous application made
218,PREV_DAYS_DECISION_MAX,Relative to current application when was the decision about previous application made
219,PREV_DAYS_DECISION_MEAN,Relative to current application when was the decision about previous application made
220,PREV_CNT_PAYMENT_MEAN,Term of previous credit at application of the previous application
221,PREV_CNT_PAYMENT_SUM,Term of previous credit at application of the previous application
222,PREV_NAME_CONTRACT_TYPE_Cash_loans_MEAN,Identification if loan is cash or revolving
223,PREV_NAME_CONTRACT_TYPE_Consumer_loans_MEAN,Identification if loan is cash or revolving
224,PREV_NAME_CONTRACT_TYPE_Revolving_loans_MEAN,Identification if loan is cash or revolving
225,PREV_NAME_CONTRACT_TYPE_XNA_MEAN,Identification if loan is cash or revolving
226,PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,On which day of the week did the client apply for the loan
227,PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,On which day of the week did the client apply for the loan
228,PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,On which day of the week did the client apply for the loan
229,PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,On which day of the week did the client apply for the loan
230,PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,On which day of the week did the client apply for the loan
231,PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,On which day of the week did the client apply for the loan
232,PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,On which day of the week did the client apply for the loan
233,PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract
234,PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract
235,PREV_NAME_CASH_LOAN_PURPOSE_Building_a_house_or_an_annex_MEAN,Purpose of the cash loan
236,PREV_NAME_CASH_LOAN_PURPOSE_Business_development_MEAN,Purpose of the cash loan
237,PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_garage_MEAN,Purpose of the cash loan
238,PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_holiday_home___land_MEAN,Purpose of the cash loan
239,PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_home_MEAN,Purpose of the cash loan
240,PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_new_car_MEAN,Purpose of the cash loan
241,PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_used_car_MEAN,Purpose of the cash loan
242,PREV_NAME_CASH_LOAN_PURPOSE_Car_repairs_MEAN,Purpose of the cash loan
243,PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,Purpose of the cash loan
244,PREV_NAME_CASH_LOAN_PURPOSE_Everyday_expenses_MEAN,Purpose of the cash loan
245,PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,Purpose of the cash loan
246,PREV_NAME_CASH_LOAN_PURPOSE_Gasification___water_supply_MEAN,Purpose of the cash loan
247,PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,Purpose of the cash loan
248,PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,Purpose of the cash loan
249,PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,Purpose of the cash loan
250,PREV_NAME_CASH_LOAN_PURPOSE_Money_for_a_third_person_MEAN,Purpose of the cash loan
251,PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,Purpose of the cash loan
252,PREV_NAME_CASH_LOAN_PURPOSE_Payments_on_other_loans_MEAN,Purpose of the cash loan
253,PREV_NAME_CASH_LOAN_PURPOSE_Purchase_of_electronic_equipment_MEAN,Purpose of the cash loan
254,PREV_NAME_CASH_LOAN_PURPOSE_Refusal_to_name_the_goal_MEAN,Purpose of the cash loan
255,PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,Purpose of the cash loan
256,PREV_NAME_CASH_LOAN_PURPOSE_Urgent_needs_MEAN,Purpose of the cash loan
257,PREV_NAME_CASH_LOAN_PURPOSE_Wedding___gift___holiday_MEAN,Purpose of the cash loan
258,PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,Purpose of the cash loan
259,PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,Purpose of the cash loan
260,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,Contract status during the month
261,PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,Contract status during the month
262,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,Contract status during the month
263,PREV_NAME_CONTRACT_STATUS_Unused_offer_MEAN,Contract status during the month
264,PREV_NAME_PAYMENT_TYPE_Cash_through_the_bank_MEAN,Payment method that client chose to pay for the previous application
265,PREV_NAME_PAYMENT_TYPE_Cashless_from_the_account_of_the_employer_MEAN,Payment method that client chose to pay for the previous application
266,PREV_NAME_PAYMENT_TYPE_Non_cash_from_your_account_MEAN,Payment method that client chose to pay for the previous application
267,PREV_NAME_PAYMENT_TYPE_XNA_MEAN,Payment method that client chose to pay for the previous application
268,PREV_CODE_REJECT_REASON_CLIENT_MEAN,Why was the previous application rejected
269,PREV_CODE_REJECT_REASON_HC_MEAN,Why was the previous application rejected
270,PREV_CODE_REJECT_REASON_LIMIT_MEAN,Why was the previous application rejected
271,PREV_CODE_REJECT_REASON_SCO_MEAN,Why was the previous application rejected
272,PREV_CODE_REJECT_REASON_SCOFR_MEAN,Why was the previous application rejected
273,PREV_CODE_REJECT_REASON_SYSTEM_MEAN,Why was the previous application rejected
274,PREV_CODE_REJECT_REASON_VERIF_MEAN,Why was the previous application rejected
275,PREV_CODE_REJECT_REASON_XAP_MEAN,Why was the previous application rejected
276,PREV_CODE_REJECT_REASON_XNA_MEAN,Why was the previous application rejected
277,PREV_NAME_TYPE_SUITE_Children_MEAN,Who was accompanying client when he was applying for the loan
278,PREV_NAME_TYPE_SUITE_Family_MEAN,Who was accompanying client when he was applying for the loan
279,PREV_NAME_TYPE_SUITE_Group_of_people_MEAN,Who was accompanying client when he was applying for the loan
280,PREV_NAME_TYPE_SUITE_Other_A_MEAN,Who was accompanying client when he was applying for the loan
281,PREV_NAME_TYPE_SUITE_Other_B_MEAN,Who was accompanying client when he was applying for the loan
282,PREV_NAME_TYPE_SUITE_Spouse_partner_MEAN,Who was accompanying client when he was applying for the loan
283,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,Who was accompanying client when he was applying for the loan
284,PREV_NAME_CLIENT_TYPE_New_MEAN,Was the client old or new client when applying for the previous application
285,PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,Was the client old or new client when applying for the previous application
286,PREV_NAME_CLIENT_TYPE_Repeater_MEAN,Was the client old or new client when applying for the previous application
287,PREV_NAME_CLIENT_TYPE_XNA_MEAN,Was the client old or new client when applying for the previous application
288,PREV_NAME_GOODS_CATEGORY_Additional_Service_MEAN,What kind of goods did the client apply for in the previous application
289,PREV_NAME_GOODS_CATEGORY_Animals_MEAN,What kind of goods did the client apply for in the previous application
290,PREV_NAME_GOODS_CATEGORY_Audio_Video_MEAN,What kind of goods did the client apply for in the previous application
291,PREV_NAME_GOODS_CATEGORY_Auto_Accessories_MEAN,What kind of goods did the client apply for in the previous application
292,PREV_NAME_GOODS_CATEGORY_Clothing_and_Accessories_MEAN,What kind of goods did the client apply for in the previous application
293,PREV_NAME_GOODS_CATEGORY_Computers_MEAN,What kind of goods did the client apply for in the previous application
294,PREV_NAME_GOODS_CATEGORY_Construction_Materials_MEAN,What kind of goods did the client apply for in the previous application
295,PREV_NAME_GOODS_CATEGORY_Consumer_Electronics_MEAN,What kind of goods did the client apply for in the previous application
296,PREV_NAME_GOODS_CATEGORY_Direct_Sales_MEAN,What kind of goods did the client apply for in the previous application
297,PREV_NAME_GOODS_CATEGORY_Education_MEAN,What kind of goods did the client apply for in the previous application
298,PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,What kind of goods did the client apply for in the previous application
299,PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,What kind of goods did the client apply for in the previous application
300,PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,What kind of goods did the client apply for in the previous application
301,PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,What kind of goods did the client apply for in the previous application
302,PREV_NAME_GOODS_CATEGORY_House_Construction_MEAN,What kind of goods did the client apply for in the previous application
303,PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,What kind of goods did the client apply for in the previous application
304,PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,What kind of goods did the client apply for in the previous application
305,PREV_NAME_GOODS_CATEGORY_Medical_Supplies_MEAN,What kind of goods did the client apply for in the previous application
306,PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,What kind of goods did the client apply for in the previous application
307,PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,What kind of goods did the client apply for in the previous application
308,PREV_NAME_GOODS_CATEGORY_Office_Appliances_MEAN,What kind of goods did the client apply for in the previous application
309,PREV_NAME_GOODS_CATEGORY_Other_MEAN,What kind of goods did the client apply for in the previous application
310,PREV_NAME_GOODS_CATEGORY_Photo___Cinema_Equipment_MEAN,What kind of goods did the client apply for in the previous application
311,PREV_NAME_GOODS_CATEGORY_Sport_and_Leisure_MEAN,What kind of goods did the client apply for in the previous application
312,PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,What kind of goods did the client apply for in the previous application
313,PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,What kind of goods did the client apply for in the previous application
314,PREV_NAME_GOODS_CATEGORY_Weapon_MEAN,What kind of goods did the client apply for in the previous application
315,PREV_NAME_GOODS_CATEGORY_XNA_MEAN,What kind of goods did the client apply for in the previous application
316,PREV_NAME_PORTFOLIO_Cards_MEAN,"Was the previous application for CASH, POS, CAR, "
317,PREV_NAME_PORTFOLIO_Cars_MEAN,"Was the previous application for CASH, POS, CAR, "
318,PREV_NAME_PORTFOLIO_Cash_MEAN,"Was the previous application for CASH, POS, CAR, "
319,PREV_NAME_PORTFOLIO_POS_MEAN,"Was the previous application for CASH, POS, CAR, "
320,PREV_NAME_PORTFOLIO_XNA_MEAN,"Was the previous application for CASH, POS, CAR, "
321,PREV_NAME_PRODUCT_TYPE_XNA_MEAN,Was the previous application x-sell o walk-in
322,PREV_NAME_PRODUCT_TYPE_walk_in_MEAN,Was the previous application x-sell o walk-in
